answer,question
Stress-energy tensor,"The stress–energy tensor (sometimes stress–energy–momentum tensor or energy–momentum tensor) is a tensor quantity in physics that describes the density and flux of energy and momentum in spacetime, generalizing the stress tensor of Newtonian physics. It is an attribute of matter, radiation, and non-gravitational force fields. The stress–energy tensor is the source of the gravitational field in the Einstein field equations of general relativity, just as mass density is the source of such a field in Newtonian gravity."
Theodor Schwann,"Theodor Schwann (7 December 1810 – 11 January 1882) was a German physiologist. His many contributions to biology include the development of cell theory, the discovery of Schwann cells in the peripheral nervous system, the discovery and study of pepsin, the discovery of the organic nature of yeast, and the invention of the term metabolism."
Spin (physics),"In quantum mechanics and particle physics, spin is an intrinsic form of angular momentum carried by elementary particles, composite particles (hadrons), and atomic nuclei."
Density,"The density, or more precisely, the volumetric mass density, of a substance is its mass per unit volume. The symbol most often used for density is ρ (the lower case Greek letter rho), although the Latin letter D can also be used. Mathematically, density is defined as mass divided by volume:"
Microtubule,"Microtubules (micro- + tube + -ule) are a component of the cytoskeleton, found throughout the cytoplasm. These tubular polymers of tubulin can grow as long as 50 micrometres and are highly dynamic. The outer diameter of a microtubule is about 24 nm while the inner diameter is about 12 nm. They are found in eukaryotic cells, as well as some Bacteria, and are formed by the polymerization of a dimer of two globular proteins, alpha and beta tubulin."
Quantum Hall effect,"The quantum Hall effect (or integer quantum Hall effect) is a quantum-mechanical version of the Hall effect, observed in two-dimensional electron systems subjected to low temperatures and strong magnetic fields, in which the Hall conductance σ undergoes certain quantum Hall transitions to take on the quantized values"
Nebula,"A nebula (Latin for ""cloud""; pl. nebulae, nebulæ, or nebulas) is an interstellar cloud of dust, hydrogen, helium and other ionized gases. Originally, nebula was a name for any diffuse astronomical object, including galaxies beyond the Milky Way. The Andromeda Galaxy, for instance, was referred to as the Andromeda Nebula (and spiral galaxies in general as ""spiral nebulae"") before the true nature of galaxies was confirmed in the early 20th century by Vesto Slipher, Edwin Hubble and others."
Messenger RNA,"Messenger RNA (mRNA) is a large family of RNA molecules that convey genetic information from DNA to the ribosome, where they specify the amino acid sequence of the protein products of gene expression. Following transcription of primary transcript mRNA (known as pre-mRNA) by RNA polymerase, processed, mature mRNA is translated into a polymer of amino acids: a protein, as summarized in the central dogma of molecular biology."
Heap (data structure),"In computer science, a heap is a specialized tree-based data structure that satisfies the heap property: If A is a parent node of B then the key of node A is ordered with respect to the key of node B with the same ordering applying across the heap. A heap can be classified further as either a ""max heap"" or a ""min heap"". In a max heap, the keys of parent nodes are always greater than or equal to those of the children and the highest key is in the root node. In a min heap, the keys of parent nodes are less than or equal to those of the children and the lowest key is in the root node. Heaps are crucial in several efficient graph algorithms such as Dijkstra's algorithm, and in the sorting algorithm heapsort. A common implementation of a heap is the binary heap, in which the tree is a complete binary tree (see figure)."
Blaise Pascal,"Blaise Pascal (/pæˈskæl, pɑːˈskɑːl/; French: [blɛz paskal]; 19 June 1623 – 19 August 1662) was a French mathematician, physicist, inventor, writer and Christian philosopher. He was a child prodigy who was educated by his father, a tax collector in Rouen. Pascal's earliest work was in the natural and applied sciences where he made important contributions to the study of fluids, and clarified the concepts of pressure and vacuum by generalizing the work of Evangelista Torricelli. Pascal also wrote in defense of the scientific method."
Oxidative phosphorylation,"Oxidative phosphorylation (or OXPHOS in short) is the metabolic pathway in which the mitochondria in cells use their structure, enzymes, and energy released by the oxidation of nutrients to reform ATP. Although the many forms of life on earth use a range of different nutrients, ATP is the molecule that supplies energy to metabolism. Almost all aerobic organisms carry out oxidative phosphorylation. This pathway is probably so pervasive because it is a highly efficient way of releasing energy, compared to alternative fermentation processes such as anaerobic glycolysis."
