answer,question
Hamiltonian (quantum mechanics),"In quantum mechanics, the Hamiltonian is the operator corresponding to the total energy of the system in most of the cases. It is usually denoted by H, also ? or ?. Its spectrum is the set of possible outcomes when one measures the total energy of a system. Because of its close relation to the time-evolution of a system, it is of fundamental importance in most formulations of quantum theory."
7 (number),"is the natural number following 6 and preceding 8.Seven, the fourth prime number, is not only a Mersenne prime (since 23 ? 1 = 7) but also a double Mersenne prime since the exponent, 3, is itself a Mersenne prime. It is also a Newman®CShanks®CWilliams prime, a Woodall prime, a factorial prime, a lucky prime, a happy number (happy prime), a safe prime (the only Mersenne safe prime), and the fourth Heegner number.Seven is the lowest natural number that cannot be represented as the sum of the squares of three integers. (See Lagrange's four-square theorem#Historical development.)Seven is the aliquot sum of one number, the cubic number 8 and is the base of the 7-aliquot tree."
Glycolysis,"Glycolysis (from glycose, an older term[1] for glucose + -lysis degradation) is the metabolic pathway that converts glucose C6H12O6, into pyruvate, CH3COCOO? + H+. The free energy released in this process is used to form the high-energy compounds ATP (adenosine triphosphate) and NADH (reduced nicotinamide adenine dinucleotide) Glycolysis is a determined sequence of ten enzyme-catalyzed reactions. The intermediates provide entry points to glycolysis. For example, most monosaccharides, such as fructose and galactose, can be converted to one of these intermediates. The intermediates may also be directly useful. For example, the intermediate dihydroxyacetone phosphate (DHAP) is a source of the glycerol that combines with fatty acids to form fat.Glycolysis is an oxygen independent metabolic pathway, meaning that it does not use molecular oxygen (i.e. atmospheric oxygen) for any of its reactions. However the products of glycolysis (pyruvate and NADH + H+) are sometimes disposed of using atmospheric oxygen.[4] When molecular oxygen is used in the disposal of the products of glycolysis the process is usually referred to as aerobic, whereas if the disposal uses no oxygen the process is said to be anaerobic.[5] Thus, glycolysis occurs, with variations, in nearly all organisms, both aerobic and anaerobic. The wide occurrence of glycolysis indicates that it is one of the most ancient metabolic pathways.[6] Indeed, the reactions that constitute glycolysis and its parallel pathway, the pentose phosphate pathway, occur metal-catalyzed under the oxygen-free conditions of the Archean oceans, also in the absence of enzymes.[7] Glycolysis could thus have originated from chemical constraints of the prebiotic world."
Georg Wilhelm Friedrich Hegel,"was a German philosopher of the late Enlightenment. He achieved wide renown in his day and, while primarily influential within the continental tradition of philosophy, has become increasingly influential in the analytic tradition as well.[3] Although he remains a divisive figure, his canonical stature within Western philosophy is universally recognized.Hegel's principal achievement is his development of a distinctive articulation of idealism sometimes termed ""absolute idealism,""[5] in which the dualisms of, for instance, mind and nature and subject and object are overcome. His philosophy of spirit conceptually integrates psychology, the state, history, art, religion, and philosophy. His account of the master®Cslave dialectic has been highly influential, especially in 20th-century France.[6] Of special importance is his concept of spirit (Geist: sometimes also translated as ""ind"") as the historical manifestation of the logical concept and the ""sublation"" (Aufhebung: integration without elimination or reduction) of seemingly contradictory or opposing factors; examples include the apparent opposition between nature and freedom and between immanence and transcendence. Hegel has been seen in the 21st century as the originator of the thesis, antithesis, synthesis triad; however this originated with Johann Fichteu"
Silver,"Silver is a chemical element with symbol Ag and atomic number 47. A soft, white, lustrous transition metal, it possesses the highest electrical conductivity, thermal conductivity and reflectivity of any metal. The metal occurs naturally in its pure, free form (native silver), as an alloy with gold and other metals, and in minerals such as argentite and chlorargyrite. Most silver is produced as a byproduct of copper, gold, lead, and zinc refining."
Spin (physics),"In quantum mechanics and particle physics, spin is an intrinsic form of angular momentum carried by elementary particles, composite particles (hadrons), and atomic nuclei.Spin is one of two types of angular momentum in quantum mechanics, the other being orbital angular momentum. The orbital angular momentum operator is the quantum-mechanical counterpart to the classical notion of angular momentum: it arises when a particle executes a rotating or twisting trajectory (such as when an electron orbits a nucleus).[3][4] The existence of spin angular momentum is inferred from experiments, such as the Stern®CGerlach experiment, in which particles are observed to possess angular momentum that cannot be accounted for by orbital angular momentum alone."
Gross domestic product,"Gross domestic product (GDP) is a monetary measure of the value of all final goods and services produced in period of time (quarterly or yearly). GDP estimates are commonly used to determine the economic performance and standard of living of a whole country or region, and to make international comparisons GDP is not a complete measure of economic activity. It accounts for final output or value added at each stage of production, but not total output or total sales along the entire production process. It deliberately leaves out business-to-business (B2B) transactions in the early and intermediate stages of production, as well as sales of used goods. In the United States, the Bureau of Economic Analysis (BEA) has introduced a new quarterly statistic called gross output (GO), a broader measure that attempts to add up total sales or revenues at all stages of production.[2] Mark Skousen was the first economist to advocate GO as an important macroeconomic tool.[3] Other countries are following suit, such as the United Kingdom, which now producing an annual statistic called Total Output. GDP attempts to measure the •∞use•π economy, i.e., the value of finished goods and services ready to be used by consumers, business and government. GDP is similar to the •∞bottom line•π (earnings) of an accounting statement, which determined the •∞value added•π or the value of final use. GO is an estimate of the •∞make•π economy, i.e., the monetary value of sales at all stages of production. Thus, GO is similar to the •∞top line•π (revenues or sales) of an accounting statement. GDP and GO are not mutually exclusive, but complementary ways to examine what•Øs happening in an economy."
Momentum,"In classical mechanics, linear momentum or translational momentum (pl. momenta; SI unit kg m/s, or equivalently, N s) is the product of the mass and velocity of an object. For example, a heavy truck moving rapidly has a large momentum•™it takes a large or prolonged force to get the truck up to this speed, and it takes a large or prolonged force to bring it to a stop afterwards. If the truck were lighter, or moving more slowly, then it would have less momentum."
Doppler effect,"The Doppler effect (or Doppler shift) is the change in frequency of a wave (or other periodic event) for an observer moving relative to its source. It is named after the Austrian physicist Christian Doppler, who proposed it in 1842 in Prague. It is commonly heard when a vehicle sounding a siren or horn approaches, passes, and recedes from an observer. Compared to the emitted frequency, the received frequency is higher during the approach, identical at the instant of passing by, and lower during the recession.When the source of the waves is moving toward the observer, each successive wave crest is emitted from a position closer to the observer than the previous wave. Therefore, each wave takes slightly less time to reach the observer than the previous wave. Hence, the time between the arrival of successive wave crests at the observer is reduced, causing an increase in the frequency. While they are travelling, the distance between successive wave fronts is reduced, so the waves ""bunch together"". Conversely, if the source of waves is moving away from the observer, each wave is emitted from a position farther from the observer than the previous wave, so the arrival time between successive waves is increased, reducing the frequency. The distance between successive wave fronts is then increased, so the waves ""spread out"".For waves that propagate in a medium, such as sound waves, the velocity of the observer and of the source are relative to the medium in which the waves are transmitted. The total Doppler effect may therefore result from motion of the source, motion of the observer, or motion of the medium. Each of these effects is analyzed separately. For waves which do not require a medium, such as light or gravity in general relativity, only the relative difference in velocity between the observer and the source needs to be considered."
Lattice energy,"The lattice energy of a crystalline solid is usually defined as the energy of formation of the crystal from infinitely-separated ions and as such is invariably negative. The concept of lattice energy was originally developed for rocksalt-structured and sphalerite-structured compounds like NaCl and ZnS, where the ions occupy high-symmetry crystal lattice sites. In the case of NaCl, the lattice energy is the energy released by the reaction Some older textbooks define lattice energy with the opposite sign,[2] i.e. the energy required to convert the crystal into infinitely separated gaseous ions in vacuum, an endothermic process. Following this convention, the lattice energy of NaCl would be +786 kJ/mol. The lattice energy for ionic crystals such as sodium chloride, metals such as iron, or covalently linked materials such as diamond is considerably greater in magnitude than for solids such as sugar or iodine, whose neutral molecules interact only by weaker dipole-dipole or van der Waals forces.The precise value of the lattice energy may not be determined experimentally, because of the impossibility of preparing an adequate amount of gaseous ions or atoms and measuring the energy released during their condensation to form the solid. However, the value of the lattice energy may either be derived theoretically from electrostatics or from a thermodynamic cycling reaction, the Born®CHaber cycle."
