id,words,answer
196635,"['phenomenon', 'occurs', 'twice', 'quickly', 'moran', 'model', 'wrightfisher', 'model']",Genetic drift
207540,"['coenocytic', u'member', 'kingdom', 'lack', u'septum', 'another', 'group', 'kingdom', u'ascomycete', 'reproduces', 'asexually', 'using', u'conidium']",Fungus
99,"['painting', u'wa', 'drawn', 'cartoon', 'michelangelo', 'showing', 'two', 'title', u'character', 'kissing']",Venus
196778,"['geological', 'process', 'saw', 'increased', 'activity', 'midcretaceous', 'namesake', 'pulse', 'vinematthewsmorley', 'hypothesis', 'predicted', u'reversal', u'earth', 'magnetic', 'field', 'process', 'result', 'alternating', u'band', 'magnetically', 'polarized', 'rock']",Seafloor spreading
207564,"['entity', 'equal', 'curl', 'vector', 'potential']",Magnetic field
204696,"['mathematical', 'ring', 'consists', 'set', 'many', u'operation']",2 (number)
196848,"['hoecht', 'stain', u'bind', 'minor', 'groove', 'molecule', 'forming', 'gquadruplexes']",DNA
196854,"[u'substance', 'ability', 'form', 'metal', u'ligand', 'exemplified', 'coordination', 'complex', u'form', 'copper', 'water', u'schweitzer', 'reagent']",Ammonia
196860,"[u'mineral', 'gladstonedale', 'relation', 'used', 'compute', 'quantity', 'lorentzlorenz', 'equation', 'used', 'relate', 'polarizability']",Refractive index
196863,"['xray', u'binary', 'thought', 'consist', 'one', u'object', 'ordinary', 'star']",Black hole
196868,"['adiabatic', 'cooling', u'cause', 'santa', 'ana', 'diablo', u'variety', 'phenomenon']",Dune
202113,"['according', 'turans', 'theorem', 'one', u'entity', 'necessarily', 'formed', 'four', u'time', 'number', u'edge', 'graph', 'greater', 'number', u'vertex', 'squared']",Triangle
196880,"[u'phylum', u'member', 'pair', u'pouch', 'split', 'archenteron', 'pouch', 'constricting', 'three', u'portion']",Echinoderm
196892,"[u'member', 'group', u'element', 'act', 'electrophiles', 'interacting', 'lewis', 'base', 'namesake', 'bonding']",Halogen
196899,"['structure', u'wa', 'originally', 'thought', 'illusion', 'caused', 'black', 'reaction', 'existence', u'wa', 'proven', 'electron', 'microscope']",Golgi apparatus
196903,"['doppler', 'redshift', 'associated', 'force', u'wa', 'measured', 'poundrebka', 'experiment', u'wave', 'associated', 'force', 'searched', 'ligo', 'project']",Gravity
196909,"['although', u'lung', u'antibody', 'target', 'structure', u'organ', 'goodpastures', 'syndrome']",Kidney
196913,"['bonded', 'iodine', 'element', 'react', u'alkene', 'form', u'cyclopropane', 'simmonssmith', 'reaction']",Zinc
196920,"['quantity', u'increase', 'factor', 'one', 'plus', 'amplitude', 'gain', 'miller', 'effect', 'reciprocal', 'quantity', 'elastance']",Capacitance
196925,"['prime', 'number', 'n', 'evaluating', 'function', 'quantity', 'n', 'minus', 'one', 'equal', '1', 'modulo', 'n', 'according', u'wilson', 'theorem']",Factorial
196926,"['two', u'entity', 'close', 'proximity', 'may', 'experience', 'fujiwara', 'effect']",Tropical cyclone
196931,"['presence', 'hepatosplenomegaly', 'help', 'distinguish', 'closelyrelated', 'sandhoff', 'disease', 'disease']",Tay-Sachs disease
196938,"['one', 'model', 'describing', 'phenomenon', 'named', 'tomlinson', u'result', 'slipstick', 'variety', 'namesake', 'parameter', 'greater', '1']",Friction
196941,"['antiparticle', u'wa', 'first', 'discovered', 'chamberlain', 'segre', 'tevatron', 'used', 'accelerate', u'particle', 'relativistic', u'speed']",Proton
196948,"['acidity', u'oxyacid', 'determined', 'using', 'number', 'oxygen', u'atom', 'present', 'value', 'central', 'atom']",Electronegativity
196956,"['lamport', u'signature', 'stored', 'one', 'variety', 'data', 'structure', 'another', 'variety', 'structure', 'selfbalancing', 'called', 'redblack']",Tree (graph theory)
196965,"['one', 'result', u'object', 'feel', 'heavier', 'lighter', 'depending', 'direction', 'motion', 'known', 'eotvos', 'effect']",Coriolis effect
196967,"['square', 'root', 'quantity', 'obtained', 'gamma', 'function', 'evaluated', 'onehalf', 'approximated', 'buffons', 'needle', 'problem']",Pi
196979,"['precursor', 'stage', 'formation', u'cell', 'creation', 'normoblast', 'express', 'cd47', 'marker', 'protect', 'phagocytosis']",Red blood cell
196984,"['scientist', 'showed', 'quantitative', 'link', 'rayleigh', 'scattering', 'critical', 'opalescence', 'also', 'created', 'theory', 'stimulated', 'emission', 'use', u'laser']",Albert Einstein
196985,"['like', u'planck', 'constant', 'modern', 'value', 'quantity', 'determined', 'xray', 'crystallography', u'wa', 'experimentally', 'determined', 'jean', 'perrin']",Avogadro constant
196990,"['rare', 'greencolored', 'form', 'mineral', 'used', 'jewelry', 'called', 'prasiolite']",Quartz
197011,"[u'trigger', 'landslide', 'cause', u'entity', 'undergo', 'limnic', 'eruption', u'thousand', 'people', 'asphyxiated', 'carbon', 'dioxide', 'one', 'named', 'nyos']",Lake
197015,"['man', 'posited', 'person', 'cannot', 'fully', 'trust', 'sense', 'determining', 'reality', 'dream', 'argument', 'formulated', 'early', 'version', 'brain', 'vat', 'thought', 'experiment', 'conception', 'evil', 'demon', 'argued', 'empiricism', 'using', 'example', 'melting', 'piece', 'wax']",Rene Descartes
197024,"['quantity', 'related', 'isospin', 'gellmannnishijima', 'equation']",Electric charge
197026,"['one', 'condition', 'involving', 'molecule', u'kidney', 'unable', 'filter', 'waste', u'product', 'blood', 'due', 'failure', 'basement', u'membrane']",Collagen
